code,core,state
500,Portland-Auburn,ME
501,New York,NY
502,Binghamton,NY
503,Macon,GA
504,Philadelphia,PA
505,Detroit,MI
506,Boston-Manchester,NH
507,Savannah,GA
508,Pittsburgh,PA
509,Ft. Wayne,IN
510,Cleveland-Akron-Canton,OH
511,"Washington, DC-Hagarstown",MD
512,Baltimore,MD
513,Flint-Saginaw-Bay City,MI
514,Buffalo,NY
515,Cincinnati,OH
516,Erie,PA
517,Charlotte,NC
518,Greensboro-High Point-Winston Salem,NC
519,"Charleston, SC",SC
520,Augusta,GA
521,Providence-New Bedford,MA
522,"Columbus, GA-Opelika, AL",GA
523,Burlington-Plattsburgh,NY
524,Atlanta,GA
525,"Albany, GA",GA
526,Utica,NY
527,Indianapolis,IN
528,Miami-Ft. Lauderdale,FL
529,Louisville,KY
530,Tallahassee-Thomasville,GA
531,"Tri-Cities, TN-VA",VA
532,Albany-Schenectady-Troy,NY
533,Hartford-New Haven,CT
534,Orlando-Daytona Beach-Melbourne,FL
535,"Columbus, OH",OH
536,Youngstown,OH
537,Bangor,ME
538,"Rochester, NY",NY
539,Tampa-St. Petersburg-Sarasota,FL
540,Traverse City-Cadillac,MI
541,Lexington,KY
542,Dayton,OH
543,Springfield-Holyoke,MA
544,Norfolk-Portsmith-Newport News,VA
545,"Greenville-New Bern-Washington,Nc",NC
546,"Columbia, SC",SC
547,Toledo,OH
548,West Palm Beach-Ft. Pierce,FL
549,Watertown,NY
550,Wilmington,NC
551,Lansing,MI
552,Presque Isle,ME
553,Marquette,MI
554,Wheeling-Steubenville,OH
555,Syracuse,NY
556,Richmond-Petersburg,VA
557,Knoxville,TN
558,Lima,OH
559,Bluefield-Beckley-Oak Hill,WV
560,Raleigh-Durham-Fayettevlle,NC
561,Jacksonville,FL
563,Grand Rapids-Kalmzoo-Battlecreek,MI
564,Charleston-Huntington,WV
565,Elmira-Corning,NY
566,"Harrisburg-Lancaster-Lebanon-York,PA",PA
567,Greenville-Sparta-Asheville,SC
569,Harrisonburg,VA
570,Myrtle Beach-Florence,SC
571,Ft. Myers-Naples,FL
573,Roanoke-Lynchburg,VA
574,Johnstown-Altoona-St Colge,PA
575,Chattanooga,TN
576,Salisbury,MD
577,Wilkes Barre-Scranton,PA
581,Terre Haute,IN
582,"Lafayette, IN",IN
583,Alpena,MI
584,Charlottesville,VA
588,South Bend-Elkhart,IN
592,Gainesville,FL
596,Zanesville,OH
597,Parkersburg,WV
598,Clarksburg-Weston,WV
600,Corpus Christi,TX
602,Chicago,IL
603,Joplin-Pittsburg,KS
604,Columbia-Jefferson City,MO
605,Topeka,KS
606,Dothan,AL
609,St. Louis,MO
610,Rockford,IL
